Cell,E,W,N,S
"(34, 13)",1,1,1,1
"(35, 13)",0,0,1,1
"(36, 13)",1,0,1,1
"(37, 13)",1,1,1,1
"(38, 13)",0,1,1,1
"(39, 13)",1,0,1,0
"(40, 13)",1,1,0,0
"(41, 13)",0,1,0,1
"(42, 13)",0,0,1,1
"(43, 13)",1,0,1,1
"(44, 13)",1,1,1,0
"(45, 13)",1,1,0,0
"(46, 13)",0,1,0,1
"(47, 13)",1,1,1,1
"(48, 13)",1,0,1,1
"(49, 13)",1,1,1,1
"(50, 13)",1,0,1,1
"(51, 13)",0,0,1,1
"(52, 13)",1,0,1,1
"(53, 13)",1,0,1,0
"(54, 13)",1,1,0,0
"(55, 13)",0,1,0,1
"(56, 13)",0,1,1,1
"(57, 13)",1,0,1,1
"(58, 13)",0,1,1,1
"(59, 13)",0,0,1,1
"(60, 13)",1,1,1,0
"(61, 13)",1,1,0,0
"(62, 13)",1,1,0,1
"(63, 13)",0,1,1,1
"(64, 13)",1,0,1,1
"(65, 13)",1,0,1,1
"(66, 13)",0,0,1,1
"(67, 13)",1,1,1,1
"(68, 13)",0,0,1,1
"(69, 13)",0,1,1,1
"(70, 13)",1,1,1,0
"(1, 14)",1,1,0,0
"(2, 14)",1,1,0,1
"(3, 14)",1,1,1,1
"(4, 14)",0,1,1,0
"(5, 14)",1,1,0,1
"(6, 14)",1,1,1,1
"(7, 14)",0,1,1,1
"(8, 14)",1,0,1,1
"(9, 14)",0,1,1,1
"(10, 14)",1,1,1,1
"(11, 14)",0,0,1,1
"(12, 14)",1,0,1,0
"(13, 14)",1,1,0,1
"(14, 14)",1,0,1,1
"(15, 14)",1,1,1,1
"(16, 14)",1,1,1,0
"(17, 14)",1,1,0,1
"(18, 14)",1,1,1,1
"(19, 14)",1,0,1,1
"(20, 14)",0,0,1,1
"(21, 14)",0,1,1,1
"(22, 14)",1,0,1,1
"(23, 14)",1,0,1,1
"(24, 14)",0,1,1,1
"(25, 14)",1,1,1,1
"(26, 14)",0,1,1,1
"(27, 14)",1,0,1,0
"(28, 14)",1,1,0,1
"(29, 14)",0,1,1,0
"(30, 14)",1,0,0,1
"(31, 14)",0,1,1,0
"(32, 14)",0,1,0,1
"(33, 14)",1,1,1,0
"(34, 14)",1,1,0,1
"(35, 14)",0,0,1,1
"(36, 14)",0,1,1,0
"(37, 14)",0,1,0,1
"(38, 14)",1,0,1,0
"(39, 14)",1,1,0,1
"(40, 14)",0,1,1,1
"(41, 14)",0,0,1,1
"(42, 14)",1,0,1,1
"(43, 14)",1,1,1,0
"(44, 14)",0,1,0,1
"(45, 14)",1,1,1,0
"(46, 14)",1,0,0,1
"(47, 14)",1,1,1,0
"(48, 14)",1,1,0,0
"(49, 14)",1,1,0,0
"(50, 14)",1,1,0,1
"(51, 14)",0,0,1,1
"(52, 14)",1,1,1,0
"(53, 14)",1,1,0,0
"(54, 14)",1,1,0,0
"(55, 14)",1,0,0,1
"(56, 14)",0,0,1,1
"(57, 14)",0,1,1,1
"(58, 14)",1,0,1,0
"(59, 14)",1,0,0,1
"(60, 14)",1,1,1,1
"(61, 14)",0,1,1,1
"(62, 14)",1,1,1,1
"(63, 14)",0,0,1,1
"(64, 14)",1,1,1,0
"(65, 14)",1,1,0,0
"(66, 14)",1,0,0,1
"(67, 14)",0,1,1,1
"(68, 14)",1,0,1,0
"(69, 14)",1,0,0,1
"(70, 14)",0,1,1,0
"(1, 15)",1,1,0,1
"(2, 15)",1,1,1,0
"(3, 15)",1,1,0,1
"(4, 15)",1,0,1,1
"(5, 15)",1,1,1,0
"(6, 15)",1,1,0,1
"(7, 15)",0,0,1,1
"(8, 15)",1,1,1,1
"(9, 15)",0,0,1,1
"(10, 15)",0,1,1,1
"(11, 15)",1,0,1,1
"(12, 15)",1,1,1,0
"(13, 15)",1,1,0,0
"(14, 15)",1,1,0,0
"(15, 15)",1,1,0,0
"(16, 15)",1,1,0,1
"(17, 15)",0,1,1,0
"(18, 15)",1,1,0,0
"(19, 15)",1,1,0,1
"(20, 15)",0,0,1,1
"(21, 15)",1,0,1,0
"(22, 15)",0,1,0,0
"(23, 15)",0,1,0,1
"(24, 15)",0,0,1,1
"(25, 15)",1,1,1,1
"(26, 15)",0,0,1,1
"(27, 15)",1,1,1,1
"(28, 15)",0,1,1,1
"(29, 15)",1,0,1,0
"(30, 15)",0,1,0,1
"(31, 15)",1,0,1,0
"(32, 15)",0,0,0,1
"(33, 15)",1,1,1,1
"(34, 15)",1,1,1,1
"(35, 15)",1,0,1,1
"(36, 15)",0,0,1,1
"(37, 15)",0,0,1,1
"(38, 15)",0,1,1,1
"(39, 15)",0,1,1,0
"(40, 15)",1,0,0,1
"(41, 15)",0,0,1,1
"(42, 15)",1,1,1,0
"(43, 15)",0,1,0,1
"(44, 15)",0,0,1,1
"(45, 15)",1,1,1,1
"(46, 15)",0,1,1,0
"(47, 15)",0,1,0,1
"(48, 15)",0,1,1,1
"(49, 15)",1,1,1,1
"(50, 15)",0,1,1,1
"(51, 15)",1,0,1,0
"(52, 15)",0,1,0,1
"(53, 15)",1,1,1,1
"(54, 15)",1,1,1,1
"(55, 15)",1,1,1,0
"(56, 15)",1,0,0,1
"(57, 15)",1,0,1,1
"(58, 15)",0,1,1,1
"(59, 15)",0,1,1,0
"(60, 15)",0,1,0,1
"(61, 15)",0,0,1,1
"(62, 15)",1,1,1,1
"(63, 15)",1,0,1,1
"(64, 15)",0,1,1,1
"(65, 15)",1,1,1,1
"(66, 15)",0,1,1,1
"(67, 15)",1,0,1,1
"(68, 15)",1,1,1,1
"(69, 15)",0,1,1,1
"(70, 15)",1,0,1,0
"(1, 16)",1,1,0,0
"(2, 16)",1,1,0,1
"(3, 16)",0,1,1,0
"(4, 16)",1,1,0,0
"(5, 16)",1,1,0,1
"(6, 16)",0,1,1,0
"(7, 16)",1,0,0,0
"(8, 16)",1,1,0,1
"(9, 16)",0,0,1,1
"(10, 16)",1,0,1,1
"(11, 16)",1,1,1,0
"(12, 16)",1,1,0,1
"(13, 16)",0,1,1,1
"(14, 16)",1,1,1,0
"(15, 16)",1,1,0,1
"(16, 16)",0,1,1,0
"(17, 16)",1,0,0,0
"(18, 16)",1,1,0,0
"(19, 16)",0,1,0,1
"(20, 16)",1,0,1,0
"(21, 16)",1,1,0,1
"(22, 16)",0,0,1,1
"(23, 16)",0,0,1,1
"(24, 16)",1,0,1,1
"(25, 16)",1,1,1,1
"(26, 16)",0,0,1,1
"(27, 16)",1,1,1,1
"(28, 16)",1,0,1,0
"(29, 16)",0,1,0,1
"(30, 16)",1,0,1,0
"(31, 16)",1,1,0,0
"(32, 16)",1,0,0,1
"(33, 16)",1,1,1,0
"(34, 16)",1,1,0,0
"(35, 16)",1,1,0,1
"(36, 16)",0,0,1,1
"(37, 16)",0,0,1,1
"(38, 16)",0,0,1,1
"(39, 16)",1,0,1,1
"(40, 16)",1,1,1,0
"(41, 16)",1,0,0,0
"(42, 16)",1,1,0,1
"(43, 16)",0,0,1,1
"(44, 16)",1,0,1,1
"(45, 16)",1,1,1,0
"(46, 16)",1,0,0,0
"(47, 16)",1,0,0,1
"(48, 16)",1,0,1,1
"(49, 16)",0,1,1,1
"(50, 16)",1,0,1,1
"(51, 16)",1,1,1,1
"(52, 16)",1,0,1,1
"(53, 16)",1,1,1,0
"(54, 16)",1,1,0,0
"(55, 16)",0,1,0,1
"(56, 16)",1,1,1,0
"(57, 16)",0,1,0,1
"(58, 16)",1,0,1,0
"(59, 16)",1,0,0,1
"(60, 16)",0,0,1,1
"(61, 16)",1,0,1,1
"(62, 16)",1,1,1,0
"(63, 16)",1,1,0,1
"(64, 16)",1,0,1,1
"(65, 16)",1,1,1,1
"(66, 16)",1,0,1,0
"(67, 16)",1,1,0,0
"(68, 16)",1,1,0,1
"(69, 16)",1,0,1,1
"(70, 16)",0,1,1,0
"(1, 17)",1,1,0,1
"(2, 17)",1,1,1,0
"(3, 17)",1,0,0,0
"(4, 17)",1,1,0,1
"(5, 17)",1,1,1,1
"(6, 17)",0,0,1,1
"(7, 17)",1,1,1,0
"(8, 17)",0,1,0,1
"(9, 17)",0,0,1,1
"(10, 17)",1,1,1,0
"(11, 17)",0,1,0,1
"(12, 17)",1,1,1,1
"(13, 17)",0,0,1,0
"(14, 17)",1,1,0,1
"(15, 17)",1,1,1,1
"(16, 17)",0,0,1,1
"(17, 17)",1,1,1,1
"(18, 17)",0,1,1,0
"(19, 17)",1,0,0,1
"(20, 17)",0,1,1,1
"(21, 17)",1,1,1,1
"(22, 17)",1,0,1,0
"(23, 17)",1,0,0,0
"(24, 17)",1,1,0,0
"(25, 17)",0,1,0,1
"(26, 17)",1,0,1,0
"(27, 17)",1,1,0,0
"(28, 17)",0,1,0,1
"(29, 17)",1,0,1,1
"(30, 17)",0,1,1,1
"(31, 17)",1,1,1,1
"(32, 17)",0,1,1,0
"(33, 17)",1,1,0,0
"(34, 17)",1,1,0,1
"(35, 17)",1,1,1,1
"(36, 17)",0,0,1,1
"(37, 17)",1,0,1,0
"(38, 17)",1,0,0,1
"(39, 17)",0,1,1,0
"(40, 17)",1,1,0,0
"(41, 17)",1,1,0,1
"(42, 17)",0,1,1,0
"(43, 17)",1,0,0,1
"(44, 17)",0,1,1,0
"(45, 17)",1,1,0,1
"(46, 17)",1,1,1,1
"(47, 17)",1,1,1,0
"(48, 17)",1,1,0,1
"(49, 17)",1,0,1,0
"(50, 17)",1,1,0,0
"(51, 17)",0,1,0,0
"(52, 17)",1,1,0,0
"(53, 17)",1,1,0,0
"(54, 17)",0,1,0,1
"(55, 17)",1,0,1,1
"(56, 17)",1,1,1,0
"(57, 17)",1,0,0,0
"(58, 17)",0,1,0,1
"(59, 17)",0,1,1,1
"(60, 17)",1,0,1,1
"(61, 17)",0,1,1,0
"(62, 17)",1,1,0,1
"(63, 17)",1,1,1,0
"(64, 17)",1,1,0,0
"(65, 17)",1,1,0,0
"(66, 17)",1,1,0,0
"(67, 17)",1,1,0,0
"(68, 17)",1,1,0,0
"(69, 17)",0,1,0,1
"(70, 17)",1,0,1,0
"(1, 18)",1,1,0,0
"(2, 18)",0,1,0,1
"(3, 18)",1,1,1,1
"(4, 18)",1,1,1,0
"(5, 18)",1,1,0,1
"(6, 18)",0,0,1,1
"(7, 18)",1,1,1,1
"(8, 18)",1,0,1,1
"(9, 18)",1,0,1,1
"(10, 18)",1,1,1,0
"(11, 18)",1,0,0,1
"(12, 18)",0,1,1,1
"(13, 18)",0,0,1,1
"(14, 18)",1,1,1,0
"(15, 18)",1,1,0,1
"(16, 18)",1,0,1,0
"(17, 18)",0,1,0,1
"(18, 18)",1,0,1,0
"(19, 18)",1,1,0,1
"(20, 18)",0,0,1,1
"(21, 18)",1,1,1,0
"(22, 18)",0,1,0,1
"(23, 18)",1,1,1,0
"(24, 18)",1,1,0,1
"(25, 18)",0,0,1,1
"(26, 18)",1,1,1,0
"(27, 18)",0,1,0,1
"(28, 18)",1,0,1,1
"(29, 18)",0,1,1,1
"(30, 18)",0,0,1,1
"(31, 18)",1,1,1,1
"(32, 18)",0,0,1,1
"(33, 18)",0,1,1,1
"(34, 18)",1,1,1,0
"(35, 18)",1,1,0,0
"(36, 18)",1,0,0,1
"(37, 18)",0,1,1,0
"(38, 18)",0,1,0,1
"(39, 18)",1,0,1,0
"(40, 18)",1,1,0,0
"(41, 18)",1,1,0,1
"(42, 18)",1,0,1,0
"(43, 18)",1,1,0,1
"(44, 18)",0,0,1,1
"(45, 18)",1,1,1,0
"(46, 18)",1,1,0,0
"(47, 18)",0,1,0,1
"(48, 18)",1,1,1,0
"(49, 18)",1,1,0,0
"(50, 18)",0,1,0,1
"(51, 18)",1,0,1,1
"(52, 18)",0,1,1,0
"(53, 18)",1,1,0,0
"(54, 18)",1,0,0,0
"(55, 18)",1,1,0,0
"(56, 18)",1,1,0,1
"(57, 18)",1,1,1,0
"(58, 18)",1,0,0,1
"(59, 18)",1,0,1,1
"(60, 18)",0,1,1,1
"(61, 18)",0,0,1,1
"(62, 18)",1,1,1,0
"(63, 18)",0,1,0,0
"(64, 18)",1,1,0,0
"(65, 18)",1,1,0,0
"(66, 18)",1,1,0,1
"(67, 18)",1,1,1,0
"(68, 18)",1,1,0,1
"(69, 18)",0,0,1,1
"(70, 18)",0,1,1,0
"(1, 19)",0,1,0,1
"(2, 19)",1,0,1,0
"(3, 19)",1,1,0,0
"(4, 19)",1,1,0,1
"(5, 19)",0,1,1,1
"(6, 19)",1,0,1,1
"(7, 19)",1,1,1,0
"(8, 19)",0,1,0,0
"(9, 19)",1,1,0,0
"(10, 19)",0,1,0,1
"(11, 19)",1,1,1,1
"(12, 19)",1,0,1,1
"(13, 19)",0,0,1,1
"(14, 19)",0,1,1,1
"(15, 19)",1,1,1,0
"(16, 19)",1,1,0,1
"(17, 19)",0,0,1,1
"(18, 19)",1,1,1,0
"(19, 19)",1,1,0,1
"(20, 19)",1,0,1,0
"(21, 19)",1,1,0,1
"(22, 19)",0,0,1,1
"(23, 19)",0,1,1,0
"(24, 19)",1,1,0,1
"(25, 19)",0,0,1,1
"(26, 19)",0,1,1,1
"(27, 19)",1,0,1,1
"(28, 19)",1,1,1,1
"(29, 19)",0,0,1,1
"(30, 19)",1,0,1,1
"(31, 19)",0,1,1,1
"(32, 19)",1,0,1,0
"(33, 19)",1,0,0,1
"(34, 19)",0,1,1,0
"(35, 19)",0,1,0,1
"(36, 19)",0,1,1,0
"(37, 19)",1,0,0,1
"(38, 19)",0,0,1,1
"(39, 19)",0,1,1,1
"(40, 19)",1,1,1,1
"(41, 19)",0,1,1,0
"(42, 19)",1,1,0,1
"(43, 19)",0,1,1,1
"(44, 19)",1,0,1,1
"(45, 19)",1,1,1,0
"(46, 19)",1,1,0,0
"(47, 19)",1,0,0,1
"(48, 19)",0,1,1,1
"(49, 19)",1,1,1,1
"(50, 19)",0,0,1,1
"(51, 19)",1,1,1,0
"(52, 19)",1,0,0,0
"(53, 19)",0,1,0,1
"(54, 19)",1,1,1,0
"(55, 19)",1,1,0,0
"(56, 19)",1,1,0,0
"(57, 19)",0,1,0,1
"(58, 19)",0,1,1,0
"(59, 19)",1,1,0,1
"(60, 19)",1,0,1,1
"(61, 19)",1,0,1,1
"(62, 19)",0,1,1,0
"(63, 19)",1,0,0,1
"(64, 19)",0,1,1,0
"(65, 19)",0,1,0,1
"(66, 19)",1,1,1,0
"(67, 19)",1,1,0,0
"(68, 19)",1,1,0,1
"(69, 19)",1,0,1,0
"(70, 19)",1,0,0,0
"(1, 20)",1,0,0,0
"(2, 20)",1,1,0,1
"(3, 20)",0,1,1,1
"(4, 20)",1,1,1,0
"(5, 20)",1,0,0,0
"(6, 20)",1,1,0,0
"(7, 20)",0,1,0,1
"(8, 20)",1,0,1,1
"(9, 20)",0,1,1,1
"(10, 20)",1,0,1,1
"(11, 20)",0,1,1,0
"(12, 20)",1,1,0,0
"(13, 20)",1,0,0,1
"(14, 20)",1,0,1,0
"(15, 20)",1,1,0,1
"(16, 20)",1,1,1,1
"(17, 20)",0,0,1,1
"(18, 20)",0,1,1,1
"(19, 20)",1,1,1,0
"(20, 20)",0,1,0,1
"(21, 20)",1,1,1,0
"(22, 20)",1,0,0,1
"(23, 20)",0,0,1,1
"(24, 20)",1,1,1,1
"(25, 20)",1,0,1,1
"(26, 20)",1,0,1,1
"(27, 20)",0,1,1,0
"(28, 20)",1,1,0,1
"(29, 20)",1,0,1,0
"(30, 20)",1,1,0,1
"(31, 20)",1,0,1,1
"(32, 20)",0,1,1,0
"(33, 20)",1,1,0,1
"(34, 20)",0,0,1,1
"(35, 20)",0,0,1,1
"(36, 20)",1,0,1,1
"(37, 20)",0,1,1,1
"(38, 20)",0,0,1,1
"(39, 20)",1,0,1,1
"(40, 20)",0,1,1,1
"(41, 20)",1,0,1,1
"(42, 20)",1,1,1,0
"(43, 20)",0,0,0,1
"(44, 20)",1,1,1,0
"(45, 20)",1,1,0,1
"(46, 20)",1,1,1,0
"(47, 20)",1,1,0,1
"(48, 20)",0,0,1,1
"(49, 20)",1,1,1,0
"(50, 20)",0,0,0,1
"(51, 20)",1,1,1,0
"(52, 20)",1,1,0,1
"(53, 20)",0,0,1,1
"(54, 20)",0,1,1,1
"(55, 20)",1,1,1,0
"(56, 20)",1,1,0,0
"(57, 20)",1,0,0,1
"(58, 20)",1,0,1,1
"(59, 20)",1,1,1,0
"(60, 20)",1,1,0,0
"(61, 20)",1,1,0,0
"(62, 20)",1,0,0,1
"(63, 20)",0,1,1,1
"(64, 20)",1,0,1,0
"(65, 20)",1,0,0,1
"(66, 20)",1,1,1,1
"(67, 20)",0,1,1,1
"(68, 20)",1,1,1,0
"(69, 20)",0,1,0,1
"(70, 20)",1,1,1,0
"(1, 21)",1,1,0,1
"(2, 21)",1,1,1,0
"(3, 21)",1,0,0,1
"(4, 21)",0,1,1,0
"(5, 21)",1,1,0,1
"(6, 21)",0,1,1,0
"(7, 21)",1,0,0,1
"(8, 21)",0,1,1,1
"(9, 21)",0,0,1,1
"(10, 21)",0,1,1,1
"(11, 21)",1,0,1,0
"(12, 21)",0,1,0,1
"(13, 21)",1,1,1,0
"(14, 21)",0,1,0,1
"(15, 21)",1,1,1,0
"(16, 21)",1,1,0,1
"(17, 21)",0,0,1,1
"(18, 21)",1,0,1,0
"(19, 21)",1,1,0,1
"(20, 21)",0,0,1,1
"(21, 21)",1,1,1,1
"(22, 21)",0,1,1,0
"(23, 21)",1,0,0,1
"(24, 21)",0,1,1,0
"(25, 21)",1,1,0,0
"(26, 21)",1,1,0,0
"(27, 21)",1,0,0,1
"(28, 21)",1,1,1,0
"(29, 21)",1,1,0,0
"(30, 21)",1,1,0,0
"(31, 21)",1,1,0,1
"(32, 21)",0,0,1,1
"(33, 21)",0,1,1,1
"(34, 21)",1,0,1,1
"(35, 21)",0,0,1,1
"(36, 21)",0,1,1,1
"(37, 21)",0,0,1,1
"(38, 21)",1,0,1,1
"(39, 21)",0,1,1,0
"(40, 21)",1,0,0,1
"(41, 21)",1,1,1,0
"(42, 21)",1,1,0,0
"(43, 21)",1,0,0,1
"(44, 21)",0,1,1,1
"(45, 21)",0,1,1,0
"(46, 21)",0,1,0,1
"(47, 21)",1,1,1,1
"(48, 21)",0,0,1,0
"(49, 21)",0,1,0,1
"(50, 21)",1,0,1,1
"(51, 21)",1,1,1,0
"(52, 21)",0,1,0,0
"(53, 21)",1,0,0,1
"(54, 21)",1,0,1,0
"(55, 21)",1,1,0,0
"(56, 21)",1,1,0,1
"(57, 21)",0,1,1,0
"(58, 21)",1,1,0,0
"(59, 21)",0,1,0,1
"(60, 21)",1,1,1,1
"(61, 21)",1,1,1,0
"(62, 21)",1,1,0,1
"(63, 21)",0,0,1,1
"(64, 21)",1,1,1,0
"(65, 21)",1,1,0,0
"(66, 21)",1,1,0,0
"(67, 21)",1,0,0,1
"(68, 21)",1,1,1,1
"(69, 21)",1,0,1,0
"(70, 21)",1,1,0,0
"(1, 22)",1,1,0,0
"(2, 22)",0,1,0,1
"(3, 22)",1,1,1,1
"(4, 22)",1,0,1,0
"(5, 22)",1,1,0,1
"(6, 22)",0,0,1,0
"(7, 22)",1,1,0,1
"(8, 22)",0,0,1,1
"(9, 22)",1,0,1,1
"(10, 22)",1,0,1,1
"(11, 22)",0,1,1,0
"(12, 22)",1,0,0,1
"(13, 22)",1,1,1,0
"(14, 22)",1,0,0,1
"(15, 22)",0,1,1,1
"(16, 22)",1,1,1,1
"(17, 22)",1,0,1,1
"(18, 22)",0,1,1,1
"(19, 22)",1,1,1,0
"(20, 22)",1,0,0,1
"(21, 22)",1,1,1,1
"(22, 22)",0,0,1,0
"(23, 22)",0,1,0,1
"(24, 22)",1,0,1,1
"(25, 22)",0,1,1,1
"(26, 22)",1,1,1,1
"(27, 22)",1,1,1,0
"(28, 22)",0,1,0,1
"(29, 22)",1,1,1,1
"(30, 22)",1,1,1,1
"(31, 22)",1,1,1,1
"(32, 22)",0,0,1,1
"(33, 22)",0,0,1,1
"(34, 22)",0,1,1,1
"(35, 22)",1,0,1,1
"(36, 22)",0,0,1,1
"(37, 22)",1,0,1,0
"(38, 22)",1,1,0,1
"(39, 22)",1,0,1,0
"(40, 22)",1,1,0,0
"(41, 22)",0,1,0,1
"(42, 22)",1,1,1,1
"(43, 22)",0,1,1,1
"(44, 22)",1,0,1,0
"(45, 22)",1,0,0,1
"(46, 22)",0,0,1,1
"(47, 22)",0,1,1,0
"(48, 22)",1,0,0,1
"(49, 22)",0,0,1,1
"(50, 22)",0,1,1,0
"(51, 22)",0,1,0,1
"(52, 22)",1,0,1,1
"(53, 22)",1,1,1,0
"(54, 22)",1,1,0,1
"(55, 22)",0,1,1,0
"(56, 22)",0,1,0,1
"(57, 22)",1,0,1,0
"(58, 22)",1,1,0,1
"(59, 22)",1,0,1,0
"(60, 22)",1,1,0,0
"(61, 22)",1,1,0,0
"(62, 22)",1,1,0,1
"(63, 22)",0,0,1,1
"(64, 22)",1,1,1,0
"(65, 22)",1,1,0,1
"(66, 22)",1,1,1,1
"(67, 22)",1,1,1,0
"(68, 22)",1,1,0,0
"(69, 22)",1,1,0,0
"(70, 22)",1,1,0,0
"(1, 23)",1,1,0,1
"(2, 23)",0,0,1,1
"(3, 23)",0,1,1,0
"(4, 23)",1,1,0,1
"(5, 23)",1,1,1,0
"(6, 23)",1,0,0,1
"(7, 23)",1,1,1,0
"(8, 23)",1,0,0,1
"(9, 23)",0,1,1,0
"(10, 23)",1,1,0,1
"(11, 23)",0,0,1,1
"(12, 23)",1,1,1,0
"(13, 23)",0,1,0,0
"(14, 23)",1,1,0,0
"(15, 23)",1,0,0,0
"(16, 23)",1,1,0,0
"(17, 23)",1,1,0,1
"(18, 23)",0,0,1,1
"(19, 23)",0,1,1,1
"(20, 23)",0,1,1,0
"(21, 23)",1,1,0,1
"(22, 23)",0,0,1,1
"(23, 23)",1,0,1,0
"(24, 23)",1,1,0,1
"(25, 23)",0,0,1,1
"(26, 23)",1,1,1,0
"(27, 23)",0,1,0,1
"(28, 23)",1,0,1,0
"(29, 23)",1,1,0,0
"(30, 23)",1,1,0,0
"(31, 23)",1,1,0,1
"(32, 23)",0,0,1,1
"(33, 23)",1,0,1,0
"(34, 23)",1,0,0,1
"(35, 23)",0,1,1,1
"(36, 23)",1,0,1,1
"(37, 23)",0,1,1,1
"(38, 23)",1,1,1,0
"(39, 23)",1,1,0,0
"(40, 23)",0,1,0,1
"(41, 23)",1,0,1,1
"(42, 23)",1,1,1,1
"(43, 23)",0,0,1,1
"(44, 23)",0,1,1,1
"(45, 23)",1,1,1,1
"(46, 23)",0,0,1,1
"(47, 23)",0,0,1,0
"(48, 23)",0,1,0,1
"(49, 23)",0,0,1,1
"(50, 23)",1,0,1,1
"(51, 23)",1,0,1,1
"(52, 23)",0,1,1,0
"(53, 23)",1,1,0,1
"(54, 23)",1,1,1,1
"(55, 23)",1,0,1,1
"(56, 23)",1,0,1,1
"(57, 23)",0,1,1,1
"(58, 23)",1,1,1,0
"(59, 23)",1,1,0,1
"(60, 23)",0,1,1,1
"(61, 23)",1,1,1,1
"(62, 23)",0,1,1,1
"(63, 23)",1,0,1,0
"(64, 23)",0,1,0,1
"(65, 23)",1,1,1,0
"(66, 23)",1,1,0,0
"(67, 23)",1,1,0,1
"(68, 23)",0,1,1,1
"(69, 23)",0,1,1,1
"(70, 23)",0,1,1,0
"(1, 24)",1,1,0,1
"(2, 24)",0,0,1,1
"(3, 24)",1,0,1,1
"(4, 24)",0,1,1,0
"(5, 24)",1,1,0,0
"(6, 24)",1,1,0,0
"(7, 24)",1,1,0,1
"(8, 24)",0,1,1,1
"(9, 24)",1,0,1,0
"(10, 24)",1,1,0,1
"(11, 24)",0,0,1,1
"(12, 24)",0,1,1,1
"(13, 24)",1,0,1,1
"(14, 24)",0,1,1,0
"(15, 24)",1,1,0,0
"(16, 24)",0,1,0,1
"(17, 24)",0,1,1,0
"(18, 24)",0,0,0,1
"(19, 24)",1,0,1,1
"(20, 24)",0,0,1,1
"(21, 24)",0,1,1,1
"(22, 24)",1,0,1,1
"(23, 24)",1,1,1,1
"(24, 24)",0,1,1,0
"(25, 24)",1,0,0,1
"(26, 24)",0,1,1,1
"(27, 24)",0,0,1,1
"(28, 24)",1,1,1,0
"(29, 24)",1,1,0,1
"(30, 24)",0,1,1,1
"(31, 24)",1,1,1,1
"(32, 24)",1,0,1,1
"(33, 24)",0,1,1,1
"(34, 24)",0,1,1,1
"(35, 24)",1,0,1,1
"(36, 24)",0,1,1,0
"(37, 24)",1,0,0,1
"(38, 24)",1,1,1,1
"(39, 24)",0,1,1,1
"(40, 24)",1,0,1,1
"(41, 24)",1,1,1,0
"(42, 24)",0,1,0,1
"(43, 24)",1,0,1,1
"(44, 24)",0,0,1,1
"(45, 24)",1,1,1,1
"(46, 24)",0,0,1,1
"(47, 24)",1,0,1,1
"(48, 24)",1,0,1,1
"(49, 24)",0,0,1,1
"(50, 24)",0,1,1,0
"(51, 24)",1,1,0,1
"(52, 24)",0,0,1,1
"(53, 24)",0,1,1,0
"(54, 24)",0,1,0,0
"(55, 24)",1,1,0,0
"(56, 24)",1,1,0,1
"(57, 24)",1,0,1,0
"(58, 24)",1,1,0,1
"(59, 24)",1,1,1,1
"(60, 24)",1,0,1,0
"(61, 24)",0,1,0,1
"(62, 24)",1,0,1,0
"(63, 24)",1,1,0,1
"(64, 24)",1,0,1,1
"(65, 24)",0,1,1,1
"(66, 24)",0,1,1,0
"(67, 24)",1,1,0,1
"(68, 24)",0,0,1,1
"(69, 24)",1,0,1,1
"(70, 24)",1,0,1,0
"(1, 25)",1,1,0,1
"(2, 25)",0,0,1,1
"(3, 25)",1,1,1,0
"(4, 25)",1,0,0,1
"(5, 25)",1,1,1,1
"(6, 25)",1,1,1,1
"(7, 25)",0,1,1,1
"(8, 25)",1,0,1,1
"(9, 25)",1,1,1,0
"(10, 25)",1,1,0,1
"(11, 25)",0,0,1,1
"(12, 25)",1,0,1,1
"(13, 25)",0,1,1,1
"(14, 25)",1,0,1,1
"(15, 25)",0,1,1,1
"(16, 25)",0,0,1,1
"(17, 25)",1,0,1,1
"(18, 25)",1,0,1,1
"(19, 25)",1,1,1,0
"(20, 25)",1,0,0,0
"(21, 25)",1,0,0,1
"(22, 25)",0,1,1,0
"(23, 25)",1,1,0,1
"(24, 25)",0,0,1,1
"(25, 25)",1,1,1,0
"(26, 25)",1,0,0,0
"(27, 25)",1,0,0,1
"(28, 25)",0,1,1,1
"(29, 25)",0,1,1,1
"(30, 25)",1,0,1,1
"(31, 25)",1,1,1,0
"(32, 25)",1,1,0,1
"(33, 25)",1,0,1,1
"(34, 25)",0,0,1,1
"(35, 25)",1,1,1,1
"(36, 25)",0,0,1,1
"(37, 25)",0,1,1,0
"(38, 25)",1,1,0,1
"(39, 25)",1,0,1,0
"(40, 25)",1,1,0,0
"(41, 25)",0,1,0,1
"(42, 25)",1,0,1,0
"(43, 25)",1,1,0,0
"(44, 25)",1,0,0,1
"(45, 25)",1,1,1,1
"(46, 25)",1,0,1,0
"(47, 25)",1,1,0,0
"(48, 25)",1,1,0,1
"(49, 25)",0,0,1,1
"(50, 25)",0,0,1,1
"(51, 25)",0,1,1,1
"(52, 25)",0,0,1,1
"(53, 25)",1,0,1,1
"(54, 25)",0,0,1,1
"(55, 25)",0,1,1,0
"(56, 25)",1,1,0,0
"(57, 25)",1,1,0,1
"(58, 25)",1,1,1,0
"(59, 25)",1,1,0,0
"(60, 25)",0,1,0,1
"(61, 25)",1,0,1,1
"(62, 25)",0,1,1,1
"(63, 25)",1,1,1,0
"(64, 25)",1,1,0,1
"(65, 25)",1,0,1,0
"(66, 25)",1,0,0,1
"(67, 25)",1,1,1,1
